JURADO  |  TANGO PISTA  CUARTOS - 27 DE AGOSTO A                                                                                                    z

                                                                                                                                                    z

RONDA      PAREJA       Nombre y Apellido              Nombre y Apellido                 Moira Castellano  Ernesto    Jimena    Demian  Facundo de     PROMEDIO

                                                                                                           Balmaceda  Hoeffner  Garcia  la Cruz

4          143          Gustavo Chaile                 Mayela Aponte                     7.850             7.990      7.850     7.700   7.560          7.790

9          152          leonardo pankow                valentina massari                 7.880             7.600      7.950     7.700   7.730          7.772

7          262          Valentin Bobkov                Katerina Tsybrova                 7.860             7.780      7.580     7.750   7.780          7.750

5          320          Sebastian Avendaño             Tania Gutierrez                   7.800             7.350      7.800     7.700   8.000          7.730

8          450          London                         Sol                               8.000             7.050      7.900     7.600   8.000          7.710

2          125          Alexander Sossa                Ana Thomas                        7.800             7.800      7.900     7.250   7.730          7.696

14         132          Facundo Barrionuevo            Agustina Juanbelz                 7.800             7.880      7.900     7.520   7.380          7.696

11         97           Edwin Enrique Espinosa         Alexa Yepes                       7.860             7.550      7.800     7.550   7.600          7.672

5          245          Artem Luchin                   Polina Luchina                    7.900             7.150      7.730     7.650   7.900          7.666

14         567          EZEQUIEL GOMEZ                 Viktoriia Tsivinskaia             7.790             7.920      7.600     7.480   7.530          7.664

9          44           Luciano Paulino                Dana Zampieri                     7.650             7.200      7.730     7.800   7.890          7.654

12         37           Joaquin Besga                  Katherine Laiton                  7.650             7.350      7.850     7.620   7.780          7.650

3          166          Leandro Capparelli             Jeannette Erazú                   7.750             7.700      7.550     7.450   7.780          7.646

15         609          juan manuel Rosales            Lisa Rosales                      7.750             7.480      7.660     7.450   7.830          7.634

6          281          Ramiro Andres Perez Caricchio  Iara Deluchi                      7.250             7.900      7.630     7.500   7.850          7.626

14         417          MAX PIERO VERA RAMIREZ         Anastasiia Rudiak                 7.750             7.200      7.650     7.500   8.000          7.620

6          604          Juliano Andrade                Paula Emerick                     7.900             7.800      7.750     7.270   7.370          7.618

9          449          Martin Artunduaga              Noelia Andino                     7.890             7.790      7.900     7.250   7.250          7.616

15         261          Cristian Correa                Miriam Copello                    7.550             7.600      7.650     7.500   7.610          7.582

3          275          Marcelo Javier Torres          Francisca Alarcon Irrazabal       8.000             7.850      7.250     6.800   8.000          7.580

1          20           Matteo Antonietti              Añes Rosario Arredondo Maiztegui  7.400             7.400      7.650     7.600   7.800          7.570

12         242          Norair Arakelian               Sofiia Seminskaia                 7.600             7.060      7.600     7.700   7.850          7.562

2          481          Artem Dovbush                  Daria Pechatnikova                7.750             6.990      7.900     7.200   7.950          7.558

13         575          Miguel Francisco Coria         Yael Nahir Ferrarelli Fontanella  7.690             7.390      7.500     7.380   7.830          7.558

