JURADO  |  TANGO PISTA  CUARTOS - 27 DE AGOSTO   B                                                                                        z

                                                                                                                                          z

RONDA      PAREJA       Nombre y Apellido           Nombre y Apellido               Daniel     Dante    Stella Baez  Claudia  Pablo Inza     PROMEDIO

                                                                                    Naccuchio  Sanchez               Codega

21         490          Lucas  Gauto                Naima Gerasopoulou              8.000      7.850    7.900        7.430    7.760          7.788

26         483          Dmitrii Liferov             Dana Son                        7.800      7.950    8.000        7.430    7.720          7.780

26         4            Erik Deslarmes              Nadia Aguilar                   8.000      7.900    7.750        7.490    7.690          7.766

18         530          Diego Ortega                Aldana Silveyra                 8.000      8.000    8.000        7.000    7.780          7.756

24         762          juan   cupini               Erica  Rossi                    7.970      7.500    7.700        7.380    7.580          7.626

17         780          Juan David Vargas           Ornella Simonetto               7.205      7.600    8.000        7.490    7.760          7.611

25         738          Sandra Nadia Naccache       Jorge Carlos Lopez              7.900      7.500    7.400        7.530    7.600          7.586

25         149          Alexander Moncada Rojas     Martina Waldman                 8.000      7.300    7.600        7.290    7.580          7.554

26         510          Miguel Angel Quintero       Luciana Yanela Olivera Pedraza  7.880      7.200    7.830        7.280    7.570          7.552

23         178          Alfredo Ricardo Encina      Ana Luisa Di Francisco          7.800      7.500    7.800        7.100    7.460          7.532

29         195          Daniel Boujon               Yuki Boujon Misaki              8.000      7.450    7.280        7.350    7.450          7.506

24         157          Carlos Santos David         Mirella Santos David            7.970      7.100    7.450        7.400    7.580          7.500

24         169          Luciano Capparelli          Rocio De los santos             7.980      7.100    7.600        7.330    7.490          7.500

28         1            Juan Ignacio Braida         Natasha Kaliszuk Lee            7.950      7.500    7.100        7.460    7.490          7.500

22         466          Carlos Estigarribia         Marina Alcalde                  7.210      7.400    7.850        7.410    7.610          7.496

20         351          Juan fernando Cabral        Laura  Castiñeiras              7.170      7.500    7.970        7.130    7.530          7.460

28         318          Maxi Copello                Karen Terenzio                  8.000      7.200    7.500        7.040    7.530          7.454

24         116          Alejandro Lázzaro           Gabriela Gallese                7.990      7.000    7.450        7.290    7.530          7.452

29         365          Rodrigo Videla              Marina Teves                    7.390      7.350    7.350        7.430    7.590          7.422

17         730          Olena Sergiienko            Sergiy Podbolotnyy              7.313      7.200    7.550        7.440    7.570          7.415

