JURADO | TANGO PISTA CLASIFICATORIAS - 24 DE AGOSTO D                                                                                   z

                                                                                                                                        z

RONDA  PAREJA  Nombre y Apellido                       Nombre y Apellido       Laila Rezk  Fernando  Graciela  Silvina Valz  Sebastian     PROMEDIO

                                                                                           Carrasco  Gonzalez                Bolivar

21     780     Juan David Vargas                       Ornella Simonetto       7.510       7.500     7.950     7.750         7.600         7.662

20     530     Diego Ortega                            Aldana Silveyra         8.000       7.400     8.000     7.800         7.100         7.660

19     605     David Figueroa caicedo                  Susana Ocampo ruiz      7.680       7.600     7.850     7.300         7.500         7.586

24     365     Rodrigo Videla                          Marina Teves            7.830       7.360     7.950     7.650         7.100         7.578

21     548     Dmitrii Kuznetsov                       Olga Nikolaeva          7.990       7.300     7.800     7.550         6.900         7.508

25     779     Nelson Piliu                            Giselle Tacon           7.180       7.250     7.900     7.280         7.700         7.462

24     166     Leandro Capparelli                      Jeannette Erazú         7.950       7.200     7.900     7.600         6.650         7.460

22     143     Gustavo Chaile                          Mayela Aponte           7.510       7.250     7.950     7.500         7.000         7.442

24     245     Artem Luchin                            Polina Luchina          7.710       7.350     7.850     7.200         7.080         7.438

18     67      Aldo Romero                             Marcela Pilatti         6.940       7.500     8.000     7.350         7.300         7.418

16     604     Juliano Andrade                         Paula Emerick           7.520       7.390     7.500     7.550         7.050         7.402

16     267     Konstantin Moshinskiy                   analia alfaro           7.310       7.300     7.700     7.490         7.150         7.390

26     125     Alexander Sossa                         Ana Thomas              7.340       7.280     7.700     7.550         7.000         7.374

17     481     Artem Dovbush                           Daria Pechatnikova      6.980       7.600     8.000     7.050         7.200         7.366

23     171     Damián Esell                            Noelia Soldera          7.430       7.270     7.600     7.400         7.000         7.340

26     53      Ariel Manzanares                        Laisa Souza             7.740       6.900     7.800     7.250         6.800         7.298

21     373     Andrea Vighi                            Chiara Benati           7.480       7.100     7.900     6.900         7.000         7.276

19     56      Raúl Choque                             Jorgelina Cohen         7.980       7.300     7.300     6.950         6.800         7.266

18     355     Luis Mario Saihueque                    Marcela Patricia Jara   6.970       7.600     7.950     7.150         6.600         7.254

22     480     Adriel Cristhian Bournissen             Maria Soledad Mallo     7.430       7.220     7.900     7.000         6.500         7.210

17     431     Facundo Berrios Valdez                  Eliana de marco         7.310       7.300     7.100     7.000         7.300         7.202

