JURADO  |  TANGO PISTA  SEMIS- 29 DE AGOSTO                                                                                                           z

                                                                                                                                                      z

RONDA      PAREJA       Nombre y Apellido        Nombre y Apellido                 Moira       Stella Baez  Daniel     Dante    Facundo de  Jimena       PROMEDIO

                                                                                   Castellano               Naccuchio  Sanchez  la Cruz     Hoeffner

5          530          Diego Ortega             Aldana Silveyra                   9.000       8.990        9.000      8.950    8.990       9.000        8.988

13         490          Lucas  Gauto             Naima Gerasopoulou                9.000       8.680        9.000      8.980    8.960       9.000        8.937

8          780          Juan David Vargas        Ornella Simonetto                 9.000       8.800        9.000      8.700    9.000       8.900        8.900

10         483          Dmitrii Liferov          Dana Son                          9.000       8.990        8.700      8.980    8.550       8.850        8.845

15         4            Erik Deslarmes           Nadia Aguilar                     8.780       8.600        8.990      9.000    8.950       8.750        8.845

16         143          Gustavo Chaile           Mayela Aponte                     8.900       9.000        8.620      8.450    9.000       8.750        8.787

3          275          Marcelo Javier Torres    Francisca Alarcon Irrazabal       9.000       8.650        8.381      9.000    8.780       8.850        8.777

12         230          FERROL MATTHEW POLUAN    Muliany Rambe                     8.930       8.780        9.000      8.400    8.740       8.750        8.767

8          747          Sebastian Fernandez      Mara   Oviedo                     8.980       8.480        8.677      8.650    9.000       8.800        8.765

12         152          leonardo pankow          valentina massari                 8.950       8.400        8.880      8.550    8.810       8.750        8.723

6          391          Sergei Kurkatov          Kseniia Rubina                    8.690       8.690        8.760      8.850    8.410       8.900        8.717

9          1            Juan Ignacio Braida      Natasha Kaliszuk Lee              9.000       8.300        9.000      8.500    8.890       8.550        8.707

10         44           Luciano Paulino          Dana Zampieri                     8.790       8.800        8.910      8.350    8.810       8.400        8.677

8          97           Edwin Enrique Espinosa   Alexa Yepes                       8.800       8.500        8.920      8.200    8.660       8.650        8.622

16         116          Alejandro Lázzaro        Gabriela Gallese                  8.950       9.000        8.760      7.710    8.690       8.600        8.618

3          20           Matteo Antonietti        Añes Rosario Arredondo Maiztegui  8.600       8.850        8.201      8.700    8.590       8.750        8.615

15         609          juan manuel Rosales      Lisa Rosales                      8.830       8.600        8.980      8.100    8.610       8.500        8.603

13         728          Victoria Pesci           Lucas Martin                      8.900       8.370        9.000      8.400    8.180       8.750        8.600

3          178          Alfredo Ricardo Encina   Ana Luisa Di Francisco            8.350       8.800        9.000      8.800    8.050       8.500        8.583

7          242          Norair Arakelian         Sofiia Seminskaia                 8.600       7.900        8.870      9.000    8.520       8.600        8.582

11         466          Carlos Estigarribia      Marina Alcalde                    8.720       8.700        8.910      8.450    8.690       8.000        8.578

2          450          London                          Sol                        8.920       8.650        8.145      7.850    9.000       8.900        8.578

7          149          Alexander Moncada Rojas  Martina Waldman                   8.750       8.580        9.000      8.400    8.120       8.600        8.575

11         748          Matias Gutierrez         Aldana Belen Figueroa             8.920       8.650        8.099      8.150    8.680       8.950        8.575

9          262          Valentin Bobkov          Katerina Tsybrova                 8.800       8.570        8.700      8.100    8.570       8.660        8.567

15         166          Leandro Capparelli       Jeannette Erazú                   8.530       8.450        8.460      8.450    8.810       8.700        8.567

14         253          Jesus Paez               IARA DUARTE                       8.470       8.450        8.500      8.450    8.890       8.550        8.552

8          125          Alexander Sossa          Ana Thomas                        8.790       8.800        8.490      8.100    8.460       8.550        8.532

15         37           Joaquin Besga            Katherine Laiton                  8.450       8.750        8.090      8.350    8.780       8.700        8.520

13         351          Juan fernando Cabral     Laura  Castiñeiras                8.600       8.450        8.260      8.450    8.780       8.550        8.515

13         53           Ariel Manzanares         Laisa Souza                       8.620       8.250        8.560      8.300    8.700       8.650        8.513

1          762          juan   cupini            Erica  Rossi                      8.450       8.400        8.980      8.450    8.080       8.700        8.510

8          189          Jorge Benvenutti         Sol Irupé Gabis Gómez             8.650       8.350        8.900      8.350    8.320       8.450        8.503
11  355  Luis Mario Saihueque           Marcela Patricia Jara           8.750  8.450  8.890  8.400  8.010  8.500  8.500

