JURADO | TANGO PISTA CLASIFICATORIAS - 23 DE AGOSTO A                                                                                               z

                                                                                                                                                    z

RONDA  PAREJA  Nombre y Apellido                       Nombre y Apellido                  Maria Ines  Monica  Ricardo Calvo  Carolina     Pablo        PROMEDIO

                                                                                          Bogado      Matera                 Bonaventura  Giorgini

14     116     Alejandro Lázzaro                       Gabriela Gallese                   7.400       7.900   7.600          7.950        7.950        7.760

6      222     Nahuel Emiliano ARAGON diani            Evelyn Ponce                       8.000       7.880   7.800          8.000        7.100        7.756

14     246     Alejandro Quaglia                       Yuki Kino                          7.950       7.750   7.500          7.970        7.350        7.704

6      462     Mariano Serrudo                         Ekaterina Malko                    7.750       7.850   7.750          7.780        7.350        7.696

8      447     Joel De la O Arredondo                  Veronica Peinado Flores            7.550       7.700   7.600          7.980        7.600        7.686

9      490     Lucas Daniel Gauto                      Dimitra Naima Gerasopoulou         8.000       7.700   7.700          7.980        7.050        7.686

9      230     FERROL MATTHEW POLUAN                   Muliany Rambe                      7.950       7.900   7.500          7.920        7.150        7.684

3      275     Marcelo Javier Torres                   Francisca Alarcon Irrazabal        7.250       7.950   7.800          7.580        7.800        7.676

15     20      Matteo Antonietti                       Añes Rosario Arredondo Maiztegui   7.650       7.700   7.700          7.990        7.300        7.668

13     361     Cristian Zalazar                        Carla Espinoza                     7.850       7.880   7.550          7.650        7.350        7.656

9      237     Bumhee Lee                              Jia Han                            7.750       7.850   7.600          7.850        7.200        7.650

15     449     Martin Artunduaga                       Noelia Andino                      7.300       7.900   7.600          7.970        7.400        7.634

5      185     SANTIAGO SALAZAR BOTERO                 MARIA ALEJANDRA OSPINA MARIN       7.400       7.700   7.750          7.850        7.400        7.620

5      340     Jonathan Cañete                         Jessica Estigarribia               7.150       7.880   7.450          7.950        7.650        7.616

6      220     Federico Borquez                        Agostina cala                      7.900       7.900   7.450          7.680        7.150        7.616

5      575     Miguel Francisco Coria                  Yael Nahir Ferrarelli Fontanella   7.500       7.850   7.500          7.860        7.350        7.612

10     567     EZEQUIEL GOMEZ                          Viktoriia Tsivinskaia              7.700       7.650   7.650          7.850        7.150        7.600

15     261     Cristian Correa                         Miriam Copello                     7.750       7.850   7.750          7.320        7.250        7.584

12     499     Franco Lus                              Bruna Lavaroni                     7.500       7.900   7.400          7.850        7.250        7.580

15     585     Matias Goyeneche                        Deysi Aguilera                     7.400       7.860   7.450          7.790        7.350        7.570

1      446     Andrei Bogdanov                         Aleksandra Shumeiko (Klinova)      7.300       7.650   7.600          7.950        7.350        7.570

2      336     Maximiliano Gaston Chollet              Iuliia Dranchuk                    7.600       7.680   7.700          7.850        6.950        7.556

6      767     Mauro Caiazza                           Sabrina Amuchastegui               7.600       7.450   7.700          7.700        7.300        7.550

2      531     Branndon Cardenas                       Susana Ortiz                       7.450       7.250   7.800          7.890        7.350        7.548

8      281     Ramiro Andres Perez Caricchio           Iara Deluchi                       7.450       7.680   7.700          7.830        7.050        7.542

8      640     Vicente Albarengo                       Piera Primiterra                   7.650       7.880   7.550          7.350        7.250        7.536

2      705     Alejandro Nicolás Segovia               Milena Hopkins                     7.400       7.900   7.600          7.700        7.050        7.530

10     189     Jorge Benbenutti                        Sol Irupé Gabis Gómez              7.450       7.700   7.600          7.750        7.150        7.530

10     636     Lionel Espindola                        Ambar Hidalgo                      7.200       7.730   7.550          7.100        8.000        7.516

13     196     Felix Alberto Bon                       Angela Patricia Sarmiento Ramirez  7.400       7.880   7.450          7.830        7.000        7.512

5      532     JORGE PADILLA                           Ana Zoraida Gomez                  7.300       7.780   7.700          7.470        7.250        7.500

1      522     Jorge Calabrigo                         Tiziana Silva                      6.800       7.620   7.800          7.970        7.250        7.488

10     717     Andres Felipe Gonzalez Ballesteros      Sara Gomez Quiroz                  7.600       7.900   7.200          7.700        7.000        7.480
13  147  Walter Schefer              Silvina Hirschfeld             7.600  7.860  7.400  7.430  7.050  7.468

12  178  Alfredo Ricardo Encina      Ana Luisa Di Francisco         7.400  7.750  7.600  7.380  7.150  7.456

5   674  Ernesto Suter               Paola Klinger                  7.300  7.650  7.600  7.450  7.250  7.450

11  319  Cristian Correa             Fiamma Clozza                  7.450  7.900  7.400  7.340  7.100  7.438

13  148  Federico Antonio Frete      Laura Ayelen Grimaldi          7.800  7.730  7.650  7.000  7.000  7.436

14  503  Andres Nester               Silvina Suzak                  7.450  7.880  7.400  7.200  7.200  7.426

9   243  Froyamel Corro Jurado       Angeles Carrión                7.450  7.910  7.550  7.250  6.900  7.412

8   167  Diego Isidoro Leiva         Maria Verónica Galvan          7.300  7.500  7.650  7.430  7.100  7.396

8   487  Matías Cabezuelo            Nicole Mazza                   7.400  7.830  7.600  7.000  7.150  7.396

10  316  Nicolás Cot                 Julieta Victoria Alao          7.350  7.900  7.400  7.300  7.000  7.390

10  771  Esteban Tripailao           Natalia Mora                   7.150  7.780  7.100  7.830  7.050  7.382

1   660  Julian Del Vecchio          Camila Diaz                    7.200  7.690  7.500  7.400  7.000  7.358

10  507  Gera Lecich                 Silvana Meneses                7.300  7.300  7.500  7.560  7.100  7.352

9   354  Pablo Lavadenz              Erika Claros                   7.200  7.880  7.450  7.450  6.750  7.346

5   191  Vitalii Balan               IRINA MARTYNOVA                6.850  7.700  7.200  7.580  7.350  7.336

11  413  Luis Alberto Amaya          María Florencia Tellechea      7.250  7.800  7.300  7.230  7.100  7.336

13  350  Facundo Lautaro Cabral      Mara anahi Navarro Camaño      7.150  7.750  7.350  7.500  6.900  7.330

7   377  Jorge Roberto Hualde        Claudia Elena Hernández        7.000  7.890  7.100  7.890  6.750  7.326

5   41   Yakut Castanedo Zayas       Annika Sarv                    7.100  7.680  7.550  7.200  7.100  7.326

1   529  Marcos Morinigo             Marcela Subelza                7.250  7.660  7.300  7.300  7.100  7.322

14  9    jorge luis olguin           SIGITA LEMESIUTE               7.200  7.300  7.550  7.460  7.100  7.322

14  299  maximiliano Vega            Pamela Camia                   7.350  7.660  7.450  7.420  6.700  7.316

6   300  Vadim Cheremnykh            Anna Shakirova                 7.100  7.700  7.200  7.300  7.250  7.310

1   517  John Fredis Rendón Osorio   Diana Ismary González López    7.100  7.680  7.500  7.200  7.050  7.306

4   182  Gustavo Rau                 Julia Saquieres                7.150  7.680  7.300  7.700  6.700  7.306

9   118  NICOLAS PONCE               GRETA HEKIER                   7.250  7.550  7.100  7.320  7.250  7.294

7   584  Elbio Omar Peralta Reynoso  Liliana Haydee Salinas Picazo  6.650  7.880  7.700  7.390  6.750  7.274

2   375  Matteo Faricciotti          Michela Toro                   6.650  7.200  7.750  7.650  7.100  7.270

10  758  Franco raul Nieva           Ibel Villarreal                7.100  7.600  7.450  7.370  6.800  7.264

8   22   SERGIO SAUCET               VERONICA CARINA PASCUAL        7.150  7.580  7.400  7.200  6.900  7.246

3   764  Leandro Espinoza            Isabella Rissi                 6.900  7.450  7.600  7.450  6.750  7.230

6   448  Antonio Hair                Juliana sol Bernardi           7.000  7.000  7.650  7.520  6.950  7.224

11  343  LUIS EMILIO CAPPELLETTI     vittoria franchina             7.550  6.350  7.550  7.210  7.450  7.222

4   716  Carlos Hipolito Bouzas      Ilma Lima                      7.000  7.150  7.600  7.450  6.900  7.220

11  591  Alejandro Javier Astuena    Gabriela Lorena Ocaño casas    7.100  7.600  7.450  7.230  6.650  7.206

7   75   Walter Mario Tejeda         Clara Rosa Poggi               6.750  7.750  7.200  7.600  6.700  7.200
4   123  Alberto Angel Re                      Maria Susana Eguaburo           7.100  7.900  7.400  7.490  6.100  7.198

9   678  Jorge Rey                             Maria Victoria Mussa            7.100  7.300  7.550  7.050  6.950  7.190

4   85   Jorge edgardo Balatti                 Gabriela Fabiana Forte          7.200  7.200  7.500  7.250  6.800  7.190

11  710  Marco Ten-Pow                         Silvia Santini                  7.100  7.300  7.600  7.030  6.850  7.176

15  619  MARTIN EZEQUIEL IARUSSI               MARIA BELEN CORDOBA             7.200  7.880  6.800  6.750  7.250  7.176

12  347  Luis Lozano                           Gabriela Salinas                6.800  7.700  7.400  7.370  6.590  7.172

1   576  Pavel Shcheglov                       Mayara Zimmermann Gelsleichter  6.800  7.630  7.400  7.100  6.850  7.156

